Name,Quantity,Price
Starrider of the Crescent Steel Mount,895,P0.04
Dueling Gloves,23929,P0.05
Fatal Blossom Nails,489,P0.03
Lineage Gauntlets of the Tundra Warden,870,P0.03
Lineage Tails of the Tundra Warden,1155,P0.03
Verdant Shawl of the Father,592,P0.03
Phasma Phasmatics Shoulders,1510,P0.03
Scorched Fletcher Pauldrons,1278,P0.03
Bobusang's Axe,790,P0.03
Staff of the Infinite Waves,983,P0.03
Mourning Mother's Veil,845,P0.04
