Name,Quantity,Price
Mann Co. Supply Crate Key,9396, ?309.66 
Recoil Case,246908, ?75.84 
Dreams and Nightmares Case,166781, ?75.71 
Clutch Case,342425, ?44.16 
Souvenir MAC-10 | Sienna Damask (Minimal Wear),2313, ?4.66 
Antwerp 2022 Legends Sticker Capsule,40638, ?70.33 
Glove Case,26855, ?437.15 
Fracture Case ,305770, ?23.06 
Rio 2022 Dust II Souvenir Package,7829, ?410.04 
Snakebite Case ,364486, ?17.39 
